	Street	Neighborhood	City	Price €	Rooms	Surface	Floor	Exterior	Elevator
173	Casa o chalet independiente en El Plantío	 	 Madrid	960000	6	800 m²	 	 	 
157	Ático en Costillares	 	 Madrid	990000	4	191 m²	7ª	Yes	Yes
12	Piso en calle de las Huertas	 Huertas-Cortes	 Madrid	990000	3	180 m²	1ª	Yes	Yes
102	Piso en calle de Fuencarral	 Trafalgar	 Madrid	990000	2	110 m²	3ª	Yes	Yes
42	Ático en Sol	 	 Madrid	990000	4	135 m²	5ª	Yes	Yes
23	Piso en calle de Fuencarral	 Chueca-Justicia	 Madrid	1000000	4	160 m²	3ª	Yes	Yes
53	Casa o chalet independiente en calle de Guisando	 Ciudad Universitaria	 Madrid	1000000	5	788 m²	 	 	 
113	Piso en calle de Fernández de la Hoz	 Almagro	 Madrid	1000000	4	132 m²	2ª	Yes	Yes
80	Piso en paseo de la Castellana	 Cuzco-Castillejos	 Madrid	1050000	4	249 m²	1ª	Yes	Yes
140	Dúplex en San Juan Bautista	 	 Madrid	1050000	3	127 m²	4ª	Yes	Yes
84	Piso en calle de María de Molina	 Lista	 Madrid	1100000	1	73 m²	5ª	Yes	Yes
144	Ático en Conde Orgaz-Piovera	 	 Madrid	1100000	5	344 m²	4ª	Yes	Yes
170	Chalet pareado en El Plantío	 	 Madrid	1120000	6	400 m²	 	 	 
171	Piso en Goya	 	 Madrid	1140000	3	167 m²	5ª	Yes	 
162	Piso en Huertas-Cortes	 	 Madrid	1150000	1	41 m²	2ª	Yes	Yes
20	Piso en calle de Núñez de Balboa  40	 Recoletos	 Madrid	1170000	4	141 m²	2ª	Yes	Yes
110	Piso en Niño Jesús	 	 Madrid	1170000	2	179 m²	1ª	Yes	Yes
50	Piso en calle de Rafael Salgado  9	 Bernabéu-Hispanoamérica	 Madrid	1170000	4	220 m²	4ª	Yes	Yes
116	Piso en Aravaca	 	 Madrid	1190000	3	156 m²	Bajo	Yes	 
26	Piso en calle de Rafael Calvo  s/n	 Almagro	 Madrid	1190000	3	160 m²	1ª	Yes	Yes
56	Piso en paseo del Pintor Rosales	 Argüelles	 Madrid	1190000	5	475 m²	7ª	Yes	Yes
169	Casa o chalet independiente en Conde Orgaz-Piovera	 	 Madrid	1275000	9	782 m²	 	 	 
98	Piso en avenida DEL GENERAL PERON	 Cuatro Caminos	 Madrid	1280000	3	122 m²	5ª	Yes	Yes
8	Chalet pareado en calle Antonio Cavero	 Colina	 Madrid	1280000	4	404 m²	 	 	 
38	Piso en paseo de la Habana	 Bernabéu-Hispanoamérica	 Madrid	1280000	4	339 m²	3ª	Yes	Yes
9	Chalet adosado en ronda de Sobradiel	 Conde Orgaz-Piovera	 Madrid	1290000	4	350 m²	 	 	 
99	Piso en calle Duque de osuna	 Malasaña-Universidad	 Madrid	1290000	4	119 m²	1ª	Yes	Yes
39	Piso en Aravaca	 	 Madrid	1290000	2	89 m²	3ª	Yes	Yes
179	Ático en Jerónimos	 	 Madrid	1295000	5	280 m²	5ª	Yes	Yes
118	Chalet adosado en Aravaca	 	 Madrid	1305000	5	250 m²	 	 	 
28	Piso en calle de Don Ramón de la Cruz	 Goya	 Madrid	1305000	4	200 m²	5ª	Yes	Yes
58	Casa o chalet independiente en avenida de Valdemarín	 Valdemarín	 Madrid	1305000	6	1.200 m²	 	 	 
142	Piso en Recoletos	 	 Madrid	1305000	5	210 m²	5ª	Yes	Yes
82	Piso en calle de Ayala	 Goya	 Madrid	1305000	3	173 m²	3ª	Yes	Yes
65	Piso en Castellana	 	 Madrid	1485000	5	280 m²	1ª	Yes	Yes
125	Ático en Aravaca	 	 Madrid	1485000	4	192 m²	2ª	Yes	Yes
